Folio,Sexo,Edad,Gasolina1,Ocupación,País,Ciudad,ConducesAutomóvil,ConducesMotocicleta,Conduces,Gasolina2,Horas1,Gasolina3,Horas2,AñosEscolaridad,AG5,AG7,AG8,AG9,AG14,AG15,AG16,AG21,CAM1,CAM3,CAM4,CAM6,CAM7,CAM12,CAM18,AgrAutoF1,AgrAutoF2,AgrAuto,AgrMoto
LDG-02,1,25,230,LICENCIADO EN TURISMO,MEX,MORELIA,1, ,1,230,2, , ,16,1,2,1,1,1,1,1,1, , , , , , , ,1.25,1,1.14285714285714, 
LDG-02,1,42,500,TAXISTA,MEX,MORELIA,1, ,1,500,5, , ,17,3,2,1,1,1,1,1,1, , , , , , , ,1.75,1,1.42857142857143, 
LDG-02,1,36,350,ABOGADO,MEX,MORELIA,1, ,1,350,3, , ,19,2,2,1,1,1,1,1,1, , , , , , , ,1.5,1,1.28571428571429, 
LDG-02,1,33,200,VETERINARIO,MEX,MORELIA,1, ,1,200,2, , ,17,2,2,1,1,1,1,1,1, , , , , , , ,1.5,1,1.28571428571429, 
LDG-02,2,27,120,ESTUDIANTE,MEX,MORELIA,1, ,1,120,1, , ,15,2,1,1,1,1,1,1,1, , , , , , , ,1.25,1,1.14285714285714, 
LDG-02,1,21,400,TAXISTA,MEX,MORELIA,1, ,1,400,4, , ,16,4,1,3,1,1,3,4,1, , , , , , , ,2.25,2.66666666666667,2.42857142857143, 
LDG-02,2,39,350,ODONTOLOGA,MEX,MORELIA,1, ,1,350,3, , ,16,1,2,1,1,1,1,1,1, , , , , , , ,1.25,1,1.14285714285714, 
LDG-02,2,33,190,PSICOLOGA,MEX,MORELIA,1, ,1,350,3, , ,17,2,1,1,1,1,1,1,1, , , , , , , ,1.25,1,1.14285714285714, 
LDG-03,2,28,240,ABOGADA,MEX,MORELIA,1, ,1,240,2, , ,19,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1, 
LDG-03,2,51,450,CHOFER ESCOLAR,MEX,MORELIA,1, ,1,450,4, , ,17,1,2,1,1,1,1,3,1, , , , , , , ,1.25,1.66666666666667,1.42857142857143, 
LDG-03,1,49,300,INGENIERO INDUSTRIAL,MEX,MORELIA,1, ,1,300,2, , ,17,3,1,2,1,1,1,1,1, , , , , , , ,1.5,1.33333333333333,1.42857142857143, 
LDG-03,1,42,290,CONTADORA PUBLICA,MEX,MORELIA,1, ,1,290,2, , ,16,2,1,1,1,2,1,2,1, , , , , , , ,1.5,1.33333333333333,1.42857142857143, 
LDG-03,2,22,250,RECEPCIONISTA,MEX,MORELIA,1, ,1,250,2, , ,12,1,2,1,1,2,2,1,1, , , , , , , ,1.75,1,1.42857142857143, 
LDG-03,1,30,500,TRANSPORTISTA URBANO,MEX,MORELIA,1, ,1,500,5, , ,12,3,1,2,3,1,1,4,2, , , , , , , ,1.5,3,2.14285714285714, 
LDG-03,2,45,470,ABOGADA,MEX,MORELIA,1, ,1,470,3, , ,17,1,1,1,1,2,1,2,1, , , , , , , ,1.25,1.33333333333333,1.28571428571429, 
LDG-04,2,19,240,CAJERA DE TIENDA,MEX,MORELIA,1, ,1,240,2, , ,12,2,2,1,1,1,1,1,1, , , , , , , ,1.5,1,1.28571428571429, 
LDG-04,2,50,320,INGENIERA QUIMICA,MEX,MORELIA,1, ,1,320,3, , ,17,1,1,1,1,1,1,3,1, , , , , , , ,1,1.66666666666667,1.28571428571429, 
LDG-04,1,21,270,ESTUDIANTE,MEX,MORELIA,1, ,1,270,3, , ,15,2,1,1,1,1,1,1,1, , , , , , , ,1.25,1,1.14285714285714, 
LDG-04,1,53,280,ADMINISTRADOR,MEX,QUERETARO,1, ,1,280,2, , ,17,3,1,1,1,1,1,2,1, , , , , , , ,1.5,1.33333333333333,1.42857142857143, 
LDG-04,2,45,240,ESTILISTA,MEX,QUERETARO,1, ,1,240,2, , ,12,2,1,1,1,1,1,1,1, , , , , , , ,1.25,1,1.14285714285714, 
LDG-05,1,41,300,ASISTENTE DE VENTAS,MEX,QUERETARO,1, ,1,300,3, , ,17,2,1,1,1,1,1,2,1, , , , , , , ,1.25,1.33333333333333,1.28571428571429, 
LDG-05,1,21,350,ESTUDIANTE,MEX,QUERETARO,1, ,1,350,2, , ,15,2,2,1,1,2,1,1,1, , , , , , , ,1.75,1,1.42857142857143, 
LDG-05,1,20,200,ESTUDIANTE,MEX,MORELIA,1, ,1,200,2, , ,15,2,2,1,1,1,1,1,1, , , , , , , ,1.5,1,1.28571428571429, 
LDG-05,1,56,250,EMPLEADO DE BANCO,MEX,MORELIA,1, ,1,250,2, , ,17,2,2,1,1,1,1,3,1, , , , , , , ,1.5,1.66666666666667,1.57142857142857, 
LDG-06,2,52,300,GERENTE,MEX,MORELIA,1, ,1,300,3, , ,19,2,1,1,1,1,1,1,1, , , , , , , ,1.25,1,1.14285714285714, 
LDG-06,1,21,250,ESTUDIANTE,MEX,MORELIA,1, ,1,250,2, , ,16,2,2,1,1,1,1,1,1, , , , , , , ,1.5,1,1.28571428571429, 
LDG-06,1,19,200,DISEÑADOR GRAFICO,MEX,MORELIA,1, ,1,200,2, , ,17,3,1,1,1,1,1,1,1, , , , , , , ,1.5,1,1.28571428571429, 
LDG-06,1,27,200,ENFERMERA,MEX,MORELIA,1, ,1,200,2, , ,15,2,1,1,1,1,1,1,1, , , , , , , ,1.25,1,1.14285714285714, 
LDG-06,1,29,300,ABOGADO,MEX,MORELIA,1, ,1,300,2, , ,17,2,1,1,1,1,1,1,1, , , , , , , ,1.25,1,1.14285714285714, 
LDG-07,1,19,200,SECRETARIA,MEX,MORELIA,1, ,1,200,2, , ,13, , , , , , , , , , , , , , , , , , , 
LDG-07,1,30,300,INGENIERO INDUSTRIAL,MEX,MORELIA,1, ,1,300,2, , ,17,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1, 
LDG-08,2,61,240,JUBILADO,MEX,MORELIA,1, ,1,240,2, , ,19,2,1,1,1,1,1,2,1, , , , , , , ,1.25,1.33333333333333,1.28571428571429, 
LDG-08,1,30,250,COMERCIANTE,MEX,MORELIA,1, ,1,250,1, , ,12,2,1,1,1,2,1,1,1, , , , , , , ,1.5,1,1.28571428571429, 
LDG-08,2,21,200,ATENCION A CLIENTES,MEX,MORELIA,1, ,1,200,1, , ,14,1,1,1,1,1,1,2,1, , , , , , , ,1,1.33333333333333,1.14285714285714, 
LDG-08,1,33,200,INGENIERO ELECTRICO,MEX,MORELIA,1, ,1,200,2, , ,17,2,1,1,1,1,1,1,1, , , , , , , ,1.25,1,1.14285714285714, 
LDG-08,1,39,200,PROGRAMADOR,MEX,MORELIA,1, ,1,200,2, , ,17,3,1,1,1,1,1,2,1, , , , , , , ,1.5,1.33333333333333,1.42857142857143, 
LDG-08,2,30,250,MERCADOLOGO,MEX,MORELIA,1, ,1,250,3, , ,17,2,1,1,1,1,1,2,1, , , , , , , ,1.25,1.33333333333333,1.28571428571429, 
LDG-09,2,39,300,CARDIOLOGA,MEX,MORELIA,1, ,1,300,3, , ,23,2,1,1,1,1,1,2,1, , , , , , , ,1.25,1.33333333333333,1.28571428571429, 
LDG-09,2,22,200,AUXILIAR DE RECURSOS HUMANOS,MEX,MORELIA,1, ,1,200,1, , ,17,2,1,1,1,1,1,1,1, , , , , , , ,1.25,1,1.14285714285714, 
LDG-09,1,29,200,EDITOR DE CONTENIDO,MEX,MORELIA,1, ,1,200,2, , ,16,1,1,1,1,2,1,1,1, , , , , , , ,1.25,1,1.14285714285714, 
LDG-09,1,33,350,ASESOR FINANCIERO,MEX,MORELIA,1, ,1,350,3, , ,17,2,1,1,1,1,1,2,1, , , , , , , ,1.25,1.33333333333333,1.28571428571429, 
LDG-09,2,42,200,ADMINISTRADORA DE EMPRESAS,MEX,MORELIA,1, ,1,200,1, , ,17,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1, 
PESA,2,29, ,Diseñadora instruccional,USA,CHICAGO, ,1,2,0,0,120,1,12, , , , , , , , ,2,2,1,1,1,1,1, , , ,1.28571428571429
C001,1,23, ,EMPLEADO,COL,ROLDANILLO, ,2,2, , ,200,1,17, , , , , , , , ,3,2,1,2,1,3,3, , , ,2.14285714285714
C009,1,16, ,ESTUDIANTE,COL,LA UNION, ,2,2, , ,100,1,12, , , , , , , , ,4,3,1,1,1,1,1, , , ,1.71428571428571
C011,1,21, ,OPERARIO,COL,LA UNION, ,2,2, , ,100,5,12, , , , , , , , ,5,2,2,1,1,1,1, , , ,1.85714285714286
C012,2,40, ,EMPACADORA,COL,LA UNION, ,2,2, , ,100,3,12, , , , , , , , ,4,4,1,1,1,1,1, , , ,1.85714285714286
C013,1,31, ,ADMINISTRADOR,COL,LA UNION, ,2,2, , ,125,3,17, , , , , , , , ,3,1,1,1,1,1,1, , , ,1.28571428571429
C018,2,35, ,AGRICULTORA,COL,LA UNION, ,2,2, , ,50,2,17, , , , , , , , ,1,3,1,3,3,1,1, , , ,1.85714285714286
C019,2,33, ,EMPLEADA,COL,LA UNION, ,2,2, , ,50,.5,11, , , , , , , , ,2,1,1,1,1,1,1, , , ,1.14285714285714
C020,2,26, ,AMA DE CASA,COL,LA UNION, ,2,2, , ,75,1,11, , , , , , , , ,2,1,1,1,1,1,1, , , ,1.14285714285714
C024,2,37, ,AUXILIAR ADMINISTRATIVA,COL,LA UNION, ,2,2, , ,50,.7,15, , , , , , , , ,2,1,1,1,1,1,1, , , ,1.14285714285714
C026,2,32, ,OFICIOS VARIOS,COL,LA UNION, ,2,2, , ,50,1,12, , , , , , , , ,1,2,1,1,1,3,1, , , ,1.42857142857143
C027,1,42, ,OFICIOS VARIOS,COL,LA UNION, ,2,2, , ,100,4,12, , , , , , , , ,5,1,3,3,2,5,1, , , ,2.85714285714286
C028,1,48, ,OFICIOS VARIOS,COL,LA UNION, ,2,2, , ,50,1,12, , , , , , , , ,2,3,1,1,1,1,1, , , ,1.42857142857143
C029,1,27, ,OFICIOS VARIOS,COL,LA UNION, ,2,2, , ,120,4,8, , , , , , , , ,2,1,2,1,1,1,1, , , ,1.28571428571429
C031,2,16, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,100,2,11, , , , , , , , ,2,2,1,1,1,2,1, , , ,1.42857142857143
C033,2,17, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,250,3,11, , , , , , , , ,3,2,2,3,3,2,1, , , ,2.28571428571429
C034,1,16, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,50,.5,11, , , , , , , , ,2,2,1,1,1,2,1, , , ,1.42857142857143
C035,1,17, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,175,3.5,11, , , , , , , , ,3,3,1,1,1,2,1, , , ,1.71428571428571
C037,2,17, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,100,1,11, , , , , , , , ,2,1,1,1,1,1,1, , , ,1.14285714285714
C040,1,20, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,125,1,15, , , , , , , , ,2,1,1,2,1,2,1, , , ,1.42857142857143
C041,2,23, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,125,1,15, , , , , , , , ,2,1,1,3,3,1,1, , , ,1.71428571428571
C042,2,21, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,25,1,15, , , , , , , , ,2,1,1,3,1,1,1, , , ,1.42857142857143
C043,2,21, ,ESTUDIANTE,COL,ROLDANILLO, ,2,2, , ,150,4.5,15, , , , , , , , ,2,1,1,1,1,3,1, , , ,1.42857142857143
